"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"8CDA282D1C3A49B98C0A599D672FE86B","D15","ONAQ","ONAQ_017","2014-10-03",2,"MAM.ONAQ.2014.10",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"334CDF06EE1A4E71BD7E561E8A033207","D15","ONAQ","ONAQ_017","2014-10-19",1,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"8251BAB95CC64326B5D24B1F2E16BDFD","D15","ONAQ","ONAQ_003","2014-10-19",1,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"714DA0157D3045BFB5872D57C344E300","D15","ONAQ","ONAQ_017","2014-10-20",2,"MAM.ONAQ.2014.11",100,1,99,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"8B96F45A2E2641D0AD0E5077C20744C3","D15","ONAQ","ONAQ_003","2014-10-20",2,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"C8B0A8F6224944F78E17E3CD1A04EC71","D15","ONAQ","ONAQ_017","2014-10-21",3,"MAM.ONAQ.2014.11",100,1,99,"NEON.DOC.000481","NEON.DOC.001914","Animals were released without handling due to logistical time constraints. It was hunting season and there were people activly hunting in the immediate vacinity of the plot.",1,0
"AE346C0EC21C4863A30C34F23605D6B9","D15","ONAQ","ONAQ_005","2014-10-21",1,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"F573495E195147379D134EDD1E8DDE60","D15","ONAQ","ONAQ_015","2014-10-26",1,"MAM.ONAQ.2014.11",100,4,96,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"57D170FAA7EE4B58BF7D54E2B6189542","D15","ONAQ","ONAQ_014","2014-10-26",1,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"1D79A9B0DF6146F2968AB0FC7FF23A26","D15","ONAQ","ONAQ_014","2014-10-28",2,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"BD82AB5284E64C2E9B7B126A9DFC2149","D15","ONAQ","ONAQ_015","2014-10-28",2,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"21E55CCB81F44AB7B4F26A0C181C5BD5","D15","ONAQ","ONAQ_015","2014-10-29",3,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"55DBBE700FD84B5EB4B044315D404912","D15","ONAQ","ONAQ_021","2014-10-29",1,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"8526D82577A941DD8B94F8BF3A318717","D15","ONAQ","ONAQ_014","2014-10-29",3,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914","Captures only minimally processed due to logistical time constraints from very high capture rates for the day.",0,0
"247AF87F508C4E27B29B303E3C8DA6C5","D15","ONAQ","ONAQ_021","2014-10-30",2,"MAM.ONAQ.2014.11",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
